critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/total_loss,actor/q_loss,actor/bc_loss,actor/entropy_loss,actor/mse,beta/beta_loss,beta/beta,step
0.9861232042312622,0.005994490347802639,0.14961576461791992,-0.15920165181159973,41.21684265136719,0.18142101168632507,44.22430419921875,-3.188882827758789,0.4422430098056793,5.655556678771973,0.9997000694274902,0
0.4374845623970032,-38.43540573120117,-0.16477248072624207,-40.13248825073242,45.756019592285156,38.49457931518555,4.366084098815918,2.8953535556793213,0.04366084188222885,0.10788439959287643,1.0277849435806274,10000
2.0469038486480713,-51.74921798706055,1.1775842905044556,-63.413394927978516,57.986263275146484,50.731163024902344,4.714351177215576,2.5407488346099854,0.04714351147413254,-0.040849294513463974,1.047463297843933,20000
2.229006290435791,-36.112335205078125,0.15162238478660583,-53.44402313232422,42.1303825378418,35.397369384765625,4.096614360809326,2.6363983154296875,0.04096614941954613,-0.011271754279732704,1.0386927127838135,30000
1.8498704433441162,-33.45600891113281,0.4088643193244934,-49.34971237182617,40.04700469970703,32.82579803466797,4.553067684173584,2.668139696121216,0.04553068056702614,-0.0030865187291055918,1.0395255088806152,40000
1.0690877437591553,-33.0809211730957,0.19047199189662933,-51.32426452636719,38.987327575683594,32.40226364135742,3.901674509048462,2.683387041091919,0.03901674225926399,-0.12020435929298401,1.0325446128845215,50000
0.5594905018806458,-34.65034866333008,0.23797228932380676,-53.00519561767578,41.69221496582031,34.18611145019531,4.865791320800781,2.640312910079956,0.048657916486263275,-0.10973276942968369,1.0364620685577393,60000
1.294616460800171,-32.87828826904297,0.1337098926305771,-55.82543182373047,39.5557861328125,32.2454833984375,4.75697660446167,2.5533273220062256,0.04756976664066315,0.19627119600772858,1.0338910818099976,70000
0.8594539165496826,-32.44804763793945,0.14519661664962769,-54.615604400634766,38.869747161865234,31.860164642333984,4.492302417755127,2.5172808170318604,0.044923022389411926,-0.23910342156887054,1.0272791385650635,80000
0.674515426158905,-33.55998611450195,0.016444295644760132,-50.62430953979492,40.31441116333008,32.984153747558594,4.900551795959473,2.4297056198120117,0.04900551587343216,0.05720736086368561,1.0340758562088013,90000
1.1885544061660767,-32.73415756225586,0.20789529383182526,-51.0924072265625,39.25664138793945,32.01667785644531,4.900930881500244,2.3390328884124756,0.04900931194424629,0.1975248157978058,1.0284870862960815,100000
0.9170008897781372,-33.00721740722656,0.1667780578136444,-58.193538665771484,39.406822204589844,32.31713104248047,4.3607330322265625,2.7289586067199707,0.043607331812381744,-0.11970061808824539,1.0292235612869263,110000
0.9303751587867737,-32.70378112792969,0.18503338098526,-51.55860137939453,39.5745964050293,32.07916259765625,4.816695213317871,2.6787359714508057,0.04816695302724838,-0.1079396903514862,1.034386396408081,120000
1.0074336528778076,-32.84916687011719,0.11675842106342316,-52.24507141113281,39.02433395385742,32.00270080566406,4.442937850952148,2.578695297241211,0.04442937672138214,0.1435927301645279,1.0260531902313232,130000
0.7845702171325684,-32.41278076171875,0.9597398638725281,-59.2409553527832,38.85512924194336,31.692102432250977,4.488095760345459,2.6749298572540283,0.044880952686071396,0.10991537570953369,1.0296868085861206,140000
0.9995313882827759,-32.85199737548828,0.07376369833946228,-49.91708755493164,38.77705001831055,32.17272186279297,4.037075519561768,2.567253351211548,0.04037075489759445,0.16572676599025726,1.0291372537612915,150000
0.8632332682609558,-32.87781524658203,0.13740955293178558,-50.999691009521484,39.423309326171875,32.138397216796875,4.825023651123047,2.4598870277404785,0.0482502356171608,0.1678977757692337,1.037062406539917,160000
1.0470551252365112,-31.760879516601562,0.10959546267986298,-50.197174072265625,38.0982551574707,31.05718231201172,4.4814229011535645,2.55964994430542,0.044814229011535645,0.003940005786716938,1.032784342765808,170000
1.345388412475586,-30.750980377197266,0.24305178225040436,-60.84805679321289,36.8354606628418,29.99846076965332,4.116666316986084,2.720332622528076,0.04116666316986084,-0.16961558163166046,1.0308036804199219,180000
0.832102358341217,-33.21437072753906,1.1560959815979004,-60.519290924072266,39.690673828125,32.60984802246094,4.532304763793945,2.5485172271728516,0.045323051512241364,0.11930149048566818,1.031455397605896,190000
1.0528597831726074,-31.964637756347656,0.028068870306015015,-50.350196838378906,38.44198989868164,31.323223114013672,4.565945148468018,2.552821397781372,0.04565945267677307,-0.1037834882736206,1.0333082675933838,200000
0.6511651277542114,-32.29936981201172,0.15070688724517822,-58.5324821472168,38.48933792114258,31.477941513061523,4.47362756729126,2.5377674102783203,0.04473627731204033,0.13770408928394318,1.0363091230392456,210000
0.9473567605018616,-31.851587295532227,-0.09038347005844116,-49.7518310546875,38.17216110229492,31.28935432434082,4.165197849273682,2.7176079750061035,0.041651979088783264,-0.23481149971485138,1.0344263315200806,220000
0.8320900797843933,-31.983882904052734,0.09934329986572266,-62.63151550292969,38.98158645629883,31.406089782714844,4.945655345916748,2.6298420429229736,0.04945655167102814,0.05824628472328186,1.038140058517456,230000
0.8654302358627319,-31.0035457611084,0.13291841745376587,-49.845848083496094,37.02040100097656,30.268775939941406,4.216257572174072,2.535367250442505,0.04216257482767105,0.0990159884095192,1.039164423942566,240000
0.7187042832374573,-32.582542419433594,0.16367332637310028,-50.3724365234375,39.17475509643555,31.980144500732422,4.829931259155273,2.364682197570801,0.048299312591552734,-0.05452466383576393,1.0380232334136963,250000
0.7187401652336121,-31.07794952392578,0.14630214869976044,-55.8526611328125,37.57040023803711,30.6357364654541,4.487349987030029,2.447314500808716,0.044873498380184174,-0.02175866812467575,1.0359013080596924,260000
0.7706674933433533,-32.00183868408203,0.24036730825901031,-55.80686569213867,38.17867660522461,31.246623992919922,4.451277256011963,2.4807727336883545,0.04451277107000351,0.08648805320262909,1.034132480621338,270000
1.7205727100372314,-32.38279342651367,0.02646973729133606,-52.0836296081543,38.55908203125,31.590152740478516,4.281703948974609,2.6872236728668213,0.04281704127788544,0.006424922030419111,1.038461446762085,280000
0.7193813323974609,-32.35511016845703,0.4523298740386963,-63.56260299682617,38.625030517578125,31.88045310974121,4.000060081481934,2.7445175647735596,0.04000060260295868,0.004556083586066961,1.0409873723983765,290000
