value/v_loss,value/v_mean,value/v_max,value/v_min,critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/actor_loss,actor/mse,step
0.012398375198245049,-0.021652737632393837,0.037573233246803284,-0.09831100702285767,0.7620173692703247,0.11269646137952805,0.21225062012672424,-0.01869763433933258,0.8302247524261475,0.4888622760772705,0
0.01979094184935093,-36.174766540527344,-4.406818866729736,-38.326114654541016,0.9363574385643005,-36.85805892944336,-3.891737222671509,-39.060123443603516,7.719326972961426,0.36784785985946655,10000
0.0888608917593956,-53.1328239440918,0.43478673696517944,-60.771305084228516,1.022279977798462,-53.6434326171875,0.7970083951950073,-61.1431770324707,23.126310348510742,0.26801151037216187,20000
0.11234685778617859,-58.80608367919922,-3.5210916996002197,-73.37089538574219,1.010209083557129,-59.4929084777832,-2.289551019668579,-73.53278350830078,28.804378509521484,0.19573742151260376,30000
0.20228025317192078,-61.46583557128906,-3.5047695636749268,-79.30692291259766,1.1260408163070679,-61.78422546386719,-4.550191402435303,-79.44552612304688,68.67558288574219,0.1870516538619995,40000
0.0790427029132843,-61.742042541503906,-0.737305760383606,-82.2185287475586,0.6320074200630188,-62.11745071411133,-1.9457817077636719,-82.29299926757812,30.94533920288086,0.19625118374824524,50000
0.13909998536109924,-61.42525100708008,0.38625308871269226,-83.69332122802734,1.0034384727478027,-61.75462341308594,-0.1534021943807602,-83.80371856689453,44.35411834716797,0.1692676842212677,60000
0.14590692520141602,-61.54204177856445,-0.04058438539505005,-84.51005554199219,1.1496113538742065,-61.90531539916992,0.26373034715652466,-84.5306167602539,97.8153305053711,0.1682819128036499,70000
0.185000479221344,-60.248321533203125,-0.38829687237739563,-85.08063507080078,1.64695405960083,-60.725975036621094,0.17599226534366608,-85.03314971923828,88.67214965820312,0.16122496128082275,80000
0.12475293129682541,-60.32282638549805,0.374283105134964,-85.43739318847656,0.8064096570014954,-60.872840881347656,-0.0014480799436569214,-85.45955657958984,41.31200408935547,0.15769121050834656,90000
0.14094260334968567,-62.0804443359375,-0.16227367520332336,-85.70512390136719,1.5976468324661255,-61.9764289855957,0.05680060386657715,-85.6722183227539,222.83050537109375,0.1725616753101349,100000
0.11530058085918427,-61.11054992675781,-0.9295827150344849,-86.0929946899414,0.837678074836731,-61.48106002807617,0.7613711953163147,-86.17046356201172,73.99101257324219,0.15657690167427063,110000
0.1144929975271225,-62.11671829223633,-8.606443405151367,-86.4734878540039,1.3320200443267822,-62.106380462646484,-6.320263385772705,-86.4880599975586,127.01034545898438,0.16989758610725403,120000
0.10781092196702957,-62.15137481689453,1.7170891761779785,-87.0357894897461,0.8048244714736938,-62.68267059326172,1.4232620000839233,-87.17400360107422,29.330785751342773,0.1503775417804718,130000
0.09758654236793518,-63.018775939941406,0.04495418071746826,-88.10489654541016,0.8023945093154907,-63.59715270996094,0.24892397224903107,-88.19332885742188,29.938827514648438,0.1527302861213684,140000
0.19171518087387085,-62.26863098144531,-1.8152662515640259,-88.78274536132812,0.7826932668685913,-62.75178527832031,-2.280151128768921,-88.81941223144531,67.340576171875,0.15737766027450562,150000
0.17262843251228333,-61.67943572998047,-1.3465018272399902,-89.58021545410156,1.051061987876892,-61.95193862915039,-1.9328219890594482,-89.62088012695312,77.80865478515625,0.15004989504814148,160000
0.11305034160614014,-63.288414001464844,0.2471882402896881,-90.37399291992188,0.6263059973716736,-63.60055160522461,-0.0700550228357315,-90.47344207763672,61.51395797729492,0.14719608426094055,170000
0.27943354845046997,-61.817481994628906,0.6427752375602722,-91.01596069335938,0.9726212024688721,-61.980186462402344,0.7364428043365479,-90.98827362060547,130.93496704101562,0.14027632772922516,180000
0.1873656064271927,-63.3208122253418,-0.2030789852142334,-91.64358520507812,0.8089599609375,-63.893348693847656,0.3904672861099243,-91.80437469482422,20.706584930419922,0.15327511727809906,190000
0.11881867051124573,-63.331321716308594,1.2514610290527344,-92.18661499023438,1.1302294731140137,-63.63724136352539,1.2200813293457031,-92.2627182006836,127.9403076171875,0.1555546671152115,200000
