critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,bc_actor/loss,onestep_actor/total_loss,onestep_actor/distill_loss,onestep_actor/q_loss,onestep_actor/mse,step
0.9799751043319702,0.038545094430446625,0.12196692824363708,-0.05203962326049805,1.200111746788025,290.3742980957031,290.2428283691406,0.13147377967834473,0.19848857820034027,0
0.6607561111450195,-38.46116638183594,0.14233741164207458,-40.08576965332031,0.19734162092208862,39.57339859008789,1.034482717514038,38.538917541503906,0.031986769288778305,10000
4.817749977111816,-59.40814971923828,0.5715577006340027,-63.614898681640625,0.1698000580072403,60.20589065551758,0.8817908763885498,59.324100494384766,0.02744968608021736,20000
2.2515077590942383,-49.998291015625,0.21346691250801086,-72.91841888427734,0.19142264127731323,50.93185806274414,1.754307508468628,49.17755126953125,0.027211416512727737,30000
2.463334798812866,-41.72747802734375,0.20140129327774048,-60.59150314331055,0.17774026095867157,42.018043518066406,0.6649773120880127,41.353065490722656,0.0326535589993,40000
2.0713603496551514,-42.383209228515625,0.6673492789268494,-59.52247619628906,0.17612190544605255,42.701045989990234,0.9767718315124512,41.724273681640625,0.025419602170586586,50000
0.9638999700546265,-43.56562805175781,0.3558847904205322,-59.606319427490234,0.17612245678901672,44.16241455078125,0.9169456958770752,43.24546813964844,0.030881300568580627,60000
1.4380756616592407,-41.578651428222656,0.31563258171081543,-60.051109313964844,0.15791186690330505,42.26927947998047,1.0195250511169434,41.249755859375,0.03980625793337822,70000
1.9643428325653076,-39.63432693481445,0.25449925661087036,-59.195343017578125,0.2205202579498291,39.97775650024414,0.706766664981842,39.27098846435547,0.027608707547187805,80000
1.458817481994629,-39.980438232421875,0.049085140228271484,-58.288002014160156,0.17722153663635254,40.2530403137207,0.7827043533325195,39.4703369140625,0.035866014659404755,90000
1.0466187000274658,-38.97108459472656,0.34923821687698364,-57.520084381103516,0.19804534316062927,39.3225212097168,1.142703652381897,38.17981719970703,0.030647093430161476,100000
1.4912614822387695,-39.11070251464844,0.42538148164749146,-58.0361328125,0.16945622861385345,39.22631072998047,0.7986158132553101,38.427696228027344,0.03165000304579735,110000
1.956815481185913,-39.221405029296875,0.1591377854347229,-59.509620666503906,0.17690643668174744,39.66284942626953,0.834465742111206,38.82838439941406,0.03643093258142471,120000
1.3643362522125244,-39.44679260253906,0.11915890872478485,-57.10718536376953,0.14460863173007965,39.71065902709961,0.8886840343475342,38.82197570800781,0.028039518743753433,130000
1.4190242290496826,-38.64949417114258,0.258160263299942,-62.523807525634766,0.18144364655017853,38.847042083740234,0.903087317943573,37.94395446777344,0.02869516611099243,140000
1.1581698656082153,-38.63763427734375,0.6205228567123413,-56.75542449951172,0.15952448546886444,39.193748474121094,0.9781988263130188,38.21554946899414,0.02060297131538391,150000
0.9029472470283508,-38.94145965576172,0.040513306856155396,-56.81402587890625,0.18796196579933167,39.28913497924805,1.082364797592163,38.20677185058594,0.026162592694163322,160000
0.991880476474762,-37.83073806762695,0.16318807005882263,-56.701087951660156,0.16720256209373474,38.037071228027344,0.7086839079856873,37.32838821411133,0.02553808130323887,170000
2.4175946712493896,-36.852500915527344,0.27813756465911865,-65.56156921386719,0.17311584949493408,36.92805862426758,0.6041597723960876,36.32389831542969,0.025965169072151184,180000
1.1261996030807495,-38.57246398925781,0.9053816199302673,-64.70831298828125,0.17106123268604279,39.104496002197266,1.1164509057998657,37.98804473876953,0.0329352505505085,190000
